515,Escherichia phage K1-ind(3),Escherichia coli
516,Escherichia phage vB_EcoM_ECO1230-10,Escherichia coli
517,Enterobacteria phage T4T,Escherichia coli
518,Stx2 converting phage vB_EcoP_24B,Escherichia coli
519,Enterobacteria phage f1,Escherichia coli
520,Escherichia phage JLK-2012,Escherichia coli
521,Escherichia phage ECML-4,Escherichia coli
522,Escherichia phage ECML-117,Escherichia coli
523,Escherichia phage ECML-134,Escherichia coli
524,Enterobacteria phage T7M,Escherichia coli
525,Escherichia phage EC6,Escherichia coli
526,Enterobacteria phage phi80,Escherichia coli
527,synthetic Enterobacteria phage phiX174.1f,Escherichia coli
528,Escherichia phage EC1-UPM,Escherichia coli
529,Enterobacteria phage ID204 Moscow/ID,Escherichia coli
530,Escherichia phage PBECO 4,Escherichia coli
